time, rPosX, rPosY, rPosZ, rRotX, rRotY, rRotZ, rRotW
15.155299663543701,-0.135340691,0.131581411,0.504299104,2.31E-05,6.32E-05,0.984806955,0.173652783
15.22163987159729,-0.135340676,0.131581411,0.504299104,2.33E-05,6.34E-05,0.984806895,0.173652932
15.292429685592651,-0.135340676,0.131581411,0.504299104,2.33E-05,6.35E-05,0.984806955,0.173652768
15.366089820861816,-0.135340661,0.131581411,0.504299104,2.35E-05,6.38E-05,0.984807014,0.173652411
15.441439867019653,-0.135340661,0.131581411,0.504299104,2.33E-05,6.37E-05,0.984807014,0.1736525
15.509269952774048,-0.135340661,0.131581411,0.504299104,2.33E-05,6.35E-05,0.984807014,0.17365256
15.585489749908447,-0.135340661,0.131581396,0.504299104,2.31E-05,6.37E-05,0.984807014,0.173652276
15.656499862670898,-0.135340661,0.131581396,0.504299104,2.33E-05,6.38E-05,0.984807074,0.173651889
15.72279977798462,-0.135340661,0.131581396,0.504299104,2.34E-05,6.35E-05,0.984807074,0.173652038
15.787139654159546,-0.135340646,0.131581396,0.504299104,2.33E-05,6.36E-05,0.984807074,0.173651963
15.856229782104492,-0.135340646,0.131581396,0.504299104,2.33E-05,6.35E-05,0.984807134,0.17365171
15.924369812011719,-0.135340646,0.131581381,0.504299104,2.33E-05,6.35E-05,0.984807253,0.173651114
15.997899770736694,-0.135340661,0.131581381,0.504299104,2.33E-05,6.36E-05,0.984807253,0.173651069
16.074209690093994,-0.135340676,0.131581381,0.504299104,2.31E-05,6.37E-05,0.984807253,0.173651144
16.14063000679016,-0.135340676,0.131581381,0.504299104,2.31E-05,6.37E-05,0.984807193,0.173651248
16.21175980567932,-0.135340691,0.131581381,0.504299104,2.30E-05,6.37E-05,0.984807193,0.173651323
16.277519702911377,-0.135340691,0.131581396,0.504299104,2.29E-05,6.39E-05,0.984807193,0.173651397
16.350629806518555,-0.135340691,0.131581411,0.504299104,2.31E-05,6.40E-05,0.984807193,0.173651308
16.41828989982605,-0.13534072,0.131581411,0.504299104,2.27E-05,6.39E-05,0.984807253,0.173651055
16.479849815368652,-0.13534072,0.131581396,0.504299104,2.28E-05,6.39E-05,0.984807312,0.173650861
16.557809829711914,-0.13534072,0.131581381,0.504299104,2.27E-05,6.38E-05,0.984807312,0.173650786
16.638839721679688,-0.13534072,0.131581381,0.504299104,2.26E-05,6.38E-05,0.984807253,0.173651084
16.710019826889038,-0.13534072,0.131581381,0.504299104,2.26E-05,6.38E-05,0.984807253,0.173651159
16.77619981765747,-0.13534072,0.131581381,0.504299104,2.28E-05,6.38E-05,0.984807312,0.173650771
16.845439910888672,-0.13534072,0.131581381,0.504299104,2.27E-05,6.38E-05,0.984807253,0.17365101
16.92130994796753,-0.13534072,0.131581381,0.504299104,2.26E-05,6.38E-05,0.984807193,0.173651293
16.986469745635986,-0.13534072,0.131581381,0.504299104,2.25E-05,6.40E-05,0.984807193,0.173651472
17.073619842529297,-0.13534072,0.131581381,0.504299104,2.26E-05,6.40E-05,0.984807134,0.173651725
17.153319835662842,-0.13534072,0.131581381,0.504299104,2.25E-05,6.39E-05,0.984807134,0.173651785
17.22486972808838,-0.13534072,0.131581381,0.504299104,2.26E-05,6.39E-05,0.984807193,0.173651531
17.291279792785645,-0.13534072,0.131581381,0.504299104,2.27E-05,6.39E-05,0.984807193,0.173651487
17.359099864959717,-0.13534072,0.131581381,0.504299104,2.26E-05,6.42E-05,0.984807193,0.173651367
17.4330997467041,-0.13534072,0.131581396,0.504299104,2.23E-05,6.42E-05,0.984807193,0.173651472
17.492549657821655,-0.13534072,0.131581396,0.504299104,2.23E-05,6.42E-05,0.984807134,0.173651651
17.560689687728882,-0.13534072,0.131581396,0.504299104,2.23E-05,6.44E-05,0.984807134,0.173651814
17.637789726257324,-0.13534072,0.131581396,0.504299104,2.23E-05,6.44E-05,0.984807134,0.173651785
17.70277976989746,-0.135340735,0.131581396,0.504299104,2.20E-05,6.40E-05,0.984807193,0.173651367
17.770639657974243,-0.135340735,0.131581396,0.504299104,2.17E-05,6.39E-05,0.984807253,0.17365098
17.839969635009766,-0.135340735,0.131581396,0.504299104,2.17E-05,6.40E-05,0.984807253,0.17365101
17.921849727630615,-0.135340735,0.131581381,0.504299104,2.17E-05,6.40E-05,0.984807312,0.173650756
17.98604965209961,-0.13534072,0.131581381,0.504299104,2.17E-05,6.38E-05,0.984807312,0.173650727
18.05433964729309,-0.13534072,0.131581396,0.504299104,2.18E-05,6.37E-05,0.984807312,0.173650727
18.13724970817566,-0.13534072,0.131581396,0.504299104,2.18E-05,6.37E-05,0.984807372,0.173650458
18.21420955657959,-0.13534072,0.131581396,0.504299104,2.19E-05,6.36E-05,0.984807372,0.173650548
18.279919862747192,-0.135340706,0.131581396,0.504299104,2.18E-05,6.36E-05,0.984807491,0.173649967
18.34792971611023,-0.135340706,0.131581396,0.504299104,2.16E-05,6.38E-05,0.984807432,0.173650071
18.420029878616333,-0.13534072,0.131581396,0.504299104,2.15E-05,6.37E-05,0.984807432,0.173650265
18.48967981338501,-0.135340706,0.131581396,0.504299104,2.16E-05,6.40E-05,0.984807312,0.173650712
18.559449672698975,-0.135340706,0.131581396,0.504299104,2.15E-05,6.41E-05,0.984807432,0.173650265
18.626479864120483,-0.13534072,0.131581396,0.504299104,2.16E-05,6.40E-05,0.984807491,0.173649922
